freq	mag	phase
7112886151.79	-29.0414199829	40.6561698914
7112886351.79	-29.0427474976	40.5696640015
7112886551.79	-29.0456733704	40.4641609192
7112886751.79	-29.0493106842	40.3612937927
7112886951.79	-29.0510120392	40.2657394409
7112887151.79	-29.0533924103	40.1798477173
7112887351.79	-29.0567092896	40.0749206543
7112887551.79	-29.0580387115	39.9818305969
7112887751.79	-29.0593109131	39.8811187744
7112887951.79	-29.0630283356	39.7868423462
7112888151.79	-29.0647144318	39.6951637268
7112888351.79	-29.0678272247	39.5831642151
7112888551.79	-29.0699329376	39.4860153198
7112888751.79	-29.0715961456	39.391872406
7112888951.79	-29.0759296417	39.2727966309
7112889151.79	-29.0784244537	39.1619377136
7112889351.79	-29.0816917419	39.0605621338
7112889551.79	-29.0843925476	38.9425621033
7112889751.79	-29.0861759186	38.8364524841
7112889951.79	-29.0888748169	38.7343864441
7112890151.79	-29.0907878876	38.639629364
7112890351.79	-29.0935974121	38.5414237976
7112890551.79	-29.0982971191	38.4248390198
7112890751.79	-29.1013412476	38.303730011
7112890951.79	-29.1045303345	38.1727790833
7112891151.79	-29.1083679199	38.0731201172
7112891351.79	-29.1106014252	37.9570999146
7112891551.79	-29.1139678955	37.8442077637
7112891751.79	-29.1176128387	37.7267723083
7112891951.79	-29.1202831268	37.6098442078
7112892151.79	-29.12317276	37.4988555908
7112892351.79	-29.1271800995	37.3827476501
7112892551.79	-29.1292800903	37.2751083374
7112892751.79	-29.1342372894	37.1326980591
7112892951.79	-29.1358661652	37.0348052979
7112893151.79	-29.1389389038	36.9019088745
7112893351.79	-29.1438274384	36.764705658
7112893551.79	-29.1457023621	36.6560096741
7112893751.79	-29.1498298645	36.5187606812
7112893951.79	-29.1539573669	36.3929328918
7112894151.79	-29.158700943	36.2456436157
7112894351.79	-29.1623821259	36.1094322205
7112894551.79	-29.1661434174	35.9690322876
7112894751.79	-29.1693553925	35.8453178406
7112894951.79	-29.173658371	35.7035751343
7112895151.79	-29.1772575378	35.5668106079
7112895351.79	-29.1809139252	35.4237327576
7112895551.79	-29.1855316162	35.3064651489
7112895751.79	-29.1897659302	35.1513328552
7112895951.79	-29.193862915	35.0018997192
7112896151.79	-29.197807312	34.8756599426
7112896351.79	-29.2012386322	34.7470245361
7112896551.79	-29.2064361572	34.5761680603
